"covariate","vi_region","region_rank","vi_teh","teh_rank","combined_rank"
"asa_dose",0.0426418502845469,1,0.000121218990199633,1,2
"weight_kg",0.00237309207646286,3,7.60523991549804e-05,2,5
"bmi",0.0012225594630089,6,5.05463386491572e-05,4,10
"prior_cabg",0.000479556398657522,7,3.24821934848794e-05,5,12
"race",0.00314367430322486,2,-9.54074965679258e-06,12,14
"prior_pci",0.0015800963081862,5,1.16295372246048e-05,9,14
"smoking",0.000452239894936524,9,2.29132448255935e-05,7,16
"stemi",0.00225177294615497,4,-1.21522727938209e-05,14,18
"troponin_pos",7.35444330949948e-06,12,2.33932752977802e-05,6,18
"beta_blocker",0.000453494819786955,8,2.62795219312115e-06,11,19
"age",0.000191711659127389,10,7.87698082170613e-06,10,20
"diabetes",-2.10126951699986e-05,13,2.15763081266278e-05,8,21
"sex",7.64044943820225e-05,11,-1.00393317952737e-05,13,24
"prior_mi",-6.40011673719539e-05,14,-1.75441390021841e-05,15,29
"region",NA,NA,7.41926943196908e-05,3,NA
