"metric","source","synthetic"
"N total","18624","18624"
"N ticagrelor","9333","9333"
"N clopidogrel","9291","9291"
"N US","1413","1413"
"N ROW","17211","17211"
"N [US high tica]","324","324"
"E [US high tica]","40","40"
"N [US high clop]","352","352"
"E [US high clop]","27","27"
"N [US mid tica]","22","22"
"E [US mid tica]","2","2"
"N [US mid clop]","16","16"
"E [US mid clop]","2","2"
"N [US low tica]","284","284"
"E [US low tica]","19","19"
"N [US low clop]","263","263"
"E [US low clop]","24","24"
"N [US undetermined tica]","77","77"
"E [US undetermined tica]","23","23"
"N [US undetermined clop]","75","75"
"E [US undetermined clop]","14","14"
"N [ROW high tica]","140","140"
"E [ROW high tica]","28","28"
"N [ROW high clop]","140","140"
"E [ROW high clop]","23","23"
"N [ROW mid tica]","503","503"
"E [ROW mid tica]","62","62"
"N [ROW mid clop]","511","511"
"E [ROW mid clop]","63","63"
"N [ROW low tica]","7449","7449"
"E [ROW low tica]","546","546"
"N [ROW low clop]","7443","7443"
"E [ROW low clop]","699","699"
"N [ROW undetermined tica]","534","534"
"E [ROW undetermined tica]","144","144"
"N [ROW undetermined clop]","491","491"
"E [ROW undetermined clop]","162","162"
"Cum. incidence @360d, ticagrelor","9.8%","9.8%"
"Cum. incidence @360d, clopidogrel","11.7%","11.5%"
"HR overall (Wallentin Fig 1)","0.84 (0.77-0.92)","0.84 (0.77-0.92)"
"HR US (Mahaffey Table 2)","1.27 (0.92-1.75)","1.27 (0.92-1.75)"
"HR ROW (Mahaffey Table 2)","0.81 (0.74-0.90)","0.81 (0.74-0.89)"
"HR US ASA=high (Mahaffey Fig 3)","1.62 (0.99-2.64)","1.67 (1.03-2.72)"
"HR US ASA=low (Mahaffey Fig 3)","0.73 (0.40-1.33)","0.73 (0.40-1.33)"
"HR ROW ASA=high (Mahaffey Fig 3)","1.23 (0.71-2.14)","1.26 (0.73-2.19)"
"HR ROW ASA=mid (Mahaffey Fig 3)","1.00 (0.71-1.42)","1.00 (0.70-1.42)"
"HR ROW ASA=low (Mahaffey Fig 3)","0.78 (0.69-0.87)","0.77 (0.69-0.86)"
"HR ASA high pooled","1.45 (1.01-2.09)","1.50 (1.04-2.16)"
"HR ASA low pooled","0.77 (0.69-0.86)","0.77 (0.69-0.86)"
"Trt x ASA interaction p (Mahaffey)","0.00006","0.00066"
"Trt x region interaction p (Mahaffey ~0.01)","~0.01","0.0089"
"At risk @60d","17149","17139"
"At risk @120d","16822","16789"
"At risk @180d","16343","16313"
"At risk @240d","13393","13301"
"At risk @300d","10257","10169"
"At risk @360d","8194","8122"
"Table1: Age US","61 (53-70)","61 (52-70)"
"Table1: Age ROW","62 (54-71)","62 (53-70)"
"Table1: Weight US","87 (75-100)","88 (76-100)"
"Table1: Weight ROW","80 (70-89)","80 (71-90)"
"Table1: BMI US","29.1","29.0"
"Table1: BMI ROW","27.3","27.3"
"Table1: Female US","28.7%","28.7%"
"Table1: Female ROW","28.4%","28.4%"
"Table1: Diabetes US","33.4%","33.4%"
"Table1: Diabetes ROW","24.4%","24.3%"
"Table1: Prior PCI US","29.4%","29.4%"
"Table1: Prior PCI ROW","12.1%","12.1%"
"Table1: Prior CABG US","16.7%","16.7%"
"Table1: Prior CABG ROW","5.1%","5.1%"
"Table1: STEMI US","15.7%","15.7%"
"Table1: STEMI ROW","39.6%","39.5%"
"Table1: Beta-blocker US","80.9%","80.8%"
"Table1: Beta-blocker ROW","70.8%","70.7%"
"Table1: White race US","89.3%","89.3%"
"Table1: White race ROW","91.9%","91.9%"
